dteday,season,yr,hr,riders,rider_type,price,COGS,Revenue,Expense,profit
2021-01-01 00:00:00.0000000,1,0,0,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-01 00:00:00.0000000,1,0,1,8,casual,3.99,1.24,31.92,9.92,22
2021-01-01 00:00:00.0000000,1,0,2,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-01 00:00:00.0000000,1,0,3,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-01 00:00:00.0000000,1,0,4,0,casual,3.99,1.24,0,0,0
2021-01-01 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-01 00:00:00.0000000,1,0,6,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-01 00:00:00.0000000,1,0,7,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-01 00:00:00.0000000,1,0,8,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-01 00:00:00.0000000,1,0,9,8,casual,3.99,1.24,31.92,9.92,22
2021-01-01 00:00:00.0000000,1,0,10,12,casual,3.99,1.24,47.88,14.88,33
2021-01-01 00:00:00.0000000,1,0,11,26,casual,3.99,1.24,103.74,32.24,71.5
2021-01-01 00:00:00.0000000,1,0,12,29,casual,3.99,1.24,115.71,35.96,79.75
2021-01-01 00:00:00.0000000,1,0,13,47,casual,3.99,1.24,187.53,58.28,129.25
2021-01-01 00:00:00.0000000,1,0,14,35,casual,3.99,1.24,139.65,43.4,96.25
2021-01-01 00:00:00.0000000,1,0,15,40,casual,3.99,1.24,159.6,49.6,110
2021-01-01 00:00:00.0000000,1,0,16,41,casual,3.99,1.24,163.59,50.84,112.75
2021-01-01 00:00:00.0000000,1,0,17,15,casual,3.99,1.24,59.85,18.6,41.25
2021-01-01 00:00:00.0000000,1,0,18,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-01 00:00:00.0000000,1,0,19,6,casual,3.99,1.24,23.94,7.44,16.5
2021-01-01 00:00:00.0000000,1,0,20,11,casual,3.99,1.24,43.89,13.64,30.25
2021-01-01 00:00:00.0000000,1,0,21,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-01 00:00:00.0000000,1,0,22,11,casual,3.99,1.24,43.89,13.64,30.25
2021-01-01 00:00:00.0000000,1,0,23,15,casual,3.99,1.24,59.85,18.6,41.25
2021-01-02 00:00:00.0000000,1,0,0,4,casual,3.99,1.24,15.96,4.96,11
2021-01-02 00:00:00.0000000,1,0,1,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-02 00:00:00.0000000,1,0,2,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-02 00:00:00.0000000,1,0,3,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-02 00:00:00.0000000,1,0,4,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-02 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-02 00:00:00.0000000,1,0,7,0,casual,3.99,1.24,0,0,0
2021-01-02 00:00:00.0000000,1,0,8,0,casual,3.99,1.24,0,0,0
2021-01-02 00:00:00.0000000,1,0,9,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-02 00:00:00.0000000,1,0,10,7,casual,3.99,1.24,27.93,8.68,19.25
2021-01-02 00:00:00.0000000,1,0,11,16,casual,3.99,1.24,63.84,19.84,44
2021-01-02 00:00:00.0000000,1,0,12,20,casual,3.99,1.24,79.8,24.8,55
2021-01-02 00:00:00.0000000,1,0,13,11,casual,3.99,1.24,43.89,13.64,30.25
2021-01-02 00:00:00.0000000,1,0,14,4,casual,3.99,1.24,15.96,4.96,11
2021-01-02 00:00:00.0000000,1,0,15,19,casual,3.99,1.24,75.81,23.56,52.25
